query,url
Rotten Tomatoes Kitty Foyle 1940,https://www.rottentomatoes.com/m/kitty_foyle
Rotten Tomatoes Double Indemnity 1944,https://www.rottentomatoes.com/m/double_indemnity
Rotten Tomatoes Great Expectations 1947,https://www.rottentomatoes.com/m/great_expectations_1947
Rotten Tomatoes Born Yesterday 1950,https://www.rottentomatoes.com/m/1002930-born_yesterday
Rotten Tomatoes High Noon 1952,https://www.rottentomatoes.com/m/1046060-high_noon
Rotten Tomatoes Peyton Place 1957,https://www.rottentomatoes.com/m/peyton_place
Rotten Tomatoes Sayonara 1957,https://www.rottentomatoes.com/m/sayonara
Rotten Tomatoes The Nuns Story 1959,https://www.rottentomatoes.com/m/the_nuns_story
Rotten Tomatoes Doctor Zhivago 1965,https://www.rottentomatoes.com/m/1006037-doctor_zhivago
Rotten Tomatoes Barry Lyndon 1975,https://www.rottentomatoes.com/m/barry_lyndon
Rotten Tomatoes Heaven Can Wait 1978,https://www.rottentomatoes.com/m/1009427-heaven_can_wait
Rotten Tomatoes Apocalypse Now 1979,https://www.rottentomatoes.com/m/apocalypse_now
Rotten Tomatoes The Dresser 1983,https://www.rottentomatoes.com/m/dresser
Rotten Tomatoes A Passage to India 1984,https://www.rottentomatoes.com/m/passage_to_india
Rotten Tomatoes Kiss of the Spider Woman 1985,https://www.rottentomatoes.com/m/kiss_of_the_spider_woman
Rotten Tomatoes A Room with a View 1986,https://www.rottentomatoes.com/m/a_room_with_a_view_1985
Rotten Tomatoes My Left Foot 1989,https://www.rottentomatoes.com/m/my_left_foot
Rotten Tomatoes JFK 1991,https://www.rottentomatoes.com/m/1037756-jfk
Rotten Tomatoes Scent of a Woman 1992,https://www.rottentomatoes.com/m/1042193-scent_of_a_woman
Rotten Tomatoes The Remains of the Day 1993,https://www.rottentomatoes.com/m/remains_of_the_day
Rotten Tomatoes LA Confidential 1997,https://www.rottentomatoes.com/m/la_confidential
Rotten Tomatoes The Insider 1999,https://www.rottentomatoes.com/m/insider
Rotten Tomatoes Crouching Tiger Hidden Dragon 2000,https://www.rottentomatoes.com/m/crouching_tiger_hidden_dragon
Rotten Tomatoes The Lord of the Rings The Fellowship of the Ring 2001,https://www.rottentomatoes.com/m/the_lord_of_the_rings_the_fellowship_of_the_ring
Rotten Tomatoes The Hours 2002,https://www.rottentomatoes.com/m/hours
Rotten Tomatoes Mystic River 2003,https://www.rottentomatoes.com/m/mystic_river
Rotten Tomatoes Capote 2005,https://www.rottentomatoes.com/m/1151898-capote
Rotten Tomatoes The Curious Case of Benjamin Button 2008,https://www.rottentomatoes.com/m/curious_case_of_benjamin_button
Rotten Tomatoes True Grit 2010,https://www.rottentomatoes.com/m/true_grit_2010
Rotten Tomatoes The Descendants 2011,https://www.rottentomatoes.com/m/the_descendants_2011
Rotten Tomatoes Hugo 2011,https://www.rottentomatoes.com/m/hugo
Rotten Tomatoes The Imitation Game 2014,https://www.rottentomatoes.com/m/the_imitation_game
Rotten Tomatoes Room 2015,https://www.rottentomatoes.com/m/room_2015
Rotten Tomatoes Emilia Perez 2024,https://www.rottentomatoes.com/m/emilia_perez
Rotten Tomatoes The Good Earth 1937,https://www.rottentomatoes.com/m/good_earth
Rotten Tomatoes The King and I 1956,https://www.rottentomatoes.com/m/1011605-king_and_i
Rotten Tomatoes Skippy 1931,https://en.wikipedia.org/wiki/Skippy_(film)
Rotten Tomatoes Bad Girl 1932,https://www.rottentomatoes.com/m/bad_girl_1931
Rotten Tomatoes Mr Deeds Goes to Town 1936,https://www.rottentomatoes.com/m/mr_deeds_goes_to_town
Rotten Tomatoes The Awful Truth 1937,https://www.rottentomatoes.com/m/awful_truth
Rotten Tomatoes The Grapes of Wrath 1940,https://www.rottentomatoes.com/m/grapes_of_wrath
Rotten Tomatoes The Treasure of the Sierra Madre 1948,https://www.rottentomatoes.com/m/treasure_of_the_sierra_madre
Rotten Tomatoes A Letter to Three Wives 1949,https://www.rottentomatoes.com/m/letter_to_three_wives
Rotten Tomatoes The Quiet Man 1952,https://www.rottentomatoes.com/m/quiet_man
Rotten Tomatoes Traffic 2000,https://www.rottentomatoes.com/m/1103281-traffic
Rotten Tomatoes Gravity 2013,https://www.rottentomatoes.com/m/gravity_2013
Rotten Tomatoes Argo 2012,https://www.rottentomatoes.com/m/argo_2012
Rotten Tomatoes CODA 2021,https://www.rottentomatoes.com/m/coda_2021
Rotten Tomatoes Hud 1963,https://www.rottentomatoes.com/m/1010174-hud
Rotten Tomatoes Hamlet 1948,https://en.wikipedia.org/wiki/Hamlet_(1948_film)
Rotten Tomatoes Cavalcade 1933,https://www.rottentomatoes.com/m/cavalcade
Rotten Tomatoes How the West Was Won 1963,https://www.rottentomatoes.com/m/how_the_west_was_won
Rotten Tomatoes A Touch of Class 1973,https://www.rottentomatoes.com/m/touch_of_class
Rotten Tomatoes Up 2009,https://www.rottentomatoes.com/m/up
Rotten Tomatoes Inception 2010,https://www.rottentomatoes.com/m/inception
Rotten Tomatoes Django Unchained 2012,https://www.rottentomatoes.com/m/django_unchained_2012
Rotten Tomatoes Dallas Buyers Club 2013,https://www.rottentomatoes.com/m/dallas_buyers_club
Rotten Tomatoes Three Billboards Outside Ebbing Missouri 2017,https://www.rottentomatoes.com/m/three_billboards_outside_ebbing_missouri
Rotten Tomatoes Marriage Story 2019,https://www.rottentomatoes.com/m/marriage_story_2019
Rotten Tomatoes King Richard 2021,https://www.rottentomatoes.com/m/king_richard
Rotten Tomatoes The Big House 1930,https://www.rottentomatoes.com/m/big_house
Rotten Tomatoes Disraeli 1930,https://www.rottentomatoes.com/m/1005964-disraeli
Rotten Tomatoes Captains Courageous 1937,https://www.rottentomatoes.com/m/captains_courageous_1937_2
Rotten Tomatoes Hold Back the Dawn 1941,https://www.rottentomatoes.com/m/hold-back-the-dawn
Rotten Tomatoes Watch on the Rhine 1943,https://www.rottentomatoes.com/m/watch_on_the_rhine
Rotten Tomatoes Anatomy of a Murder 1959,https://www.rottentomatoes.com/m/anatomy-of-a-murder
Rotten Tomatoes Sounder 1972,https://www.rottentomatoes.com/m/sounder
Rotten Tomatoes Bound for Glory 1976,https://www.rottentomatoes.com/m/bound_for_glory
Rotten Tomatoes Norma Rae 1979,https://www.rottentomatoes.com/m/norma_rae
Rotten Tomatoes The Color Purple 1985,https://www.rottentomatoes.com/m/color_purple
Rotten Tomatoes Dangerous Liaisons 1988,https://www.rottentomatoes.com/m/1005199-dangerous_liaisons
Rotten Tomatoes The Prince of Tides 1991,https://www.rottentomatoes.com/m/prince_of_tides
Rotten Tomatoes The Shawshank Redemption 1994,https://www.rottentomatoes.com/m/shawshank_redemption
Rotten Tomatoes In the Bedroom 2001,https://www.rottentomatoes.com/m/in_the_bedroom
Rotten Tomatoes Toy Story 3 2010,https://www.rottentomatoes.com/m/toy_story_3
Rotten Tomatoes Call Me by Your Name 2017,https://www.rottentomatoes.com/m/call_me_by_your_name
Rotten Tomatoes Dune 2021,https://www.rottentomatoes.com/m/dune_2021
Rotten Tomatoes All Quiet on the Western Front 2022,https://www.rottentomatoes.com/m/all_quiet_on_the_western_front_2022
Rotten Tomatoes American Fiction 2023,https://www.rottentomatoes.com/m/american_fiction
Rotten Tomatoes Conclave 2024,https://www.rottentomatoes.com/m/conclave
Rotten Tomatoes The Rose Tattoo 1955,https://www.rottentomatoes.com/m/rose_tattoo
Rotten Tomatoes San Francisco 1936,https://en.wikipedia.org/wiki/San_Francisco_(1936_film)
Rotten Tomatoes Breaking Away 1979,https://www.rottentomatoes.com/m/breaking_away
Rotten Tomatoes ET the ExtraTerrestrial 1982,https://www.rottentomatoes.com/m/et_the_extraterrestrial
